Name,Sell,Where/How,Shadow,Total Catches to Unlock,Spawn Rates,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec,SH Jan,SH Feb,SH Mar,SH Apr,SH May,SH Jun,SH Jul,SH Aug,SH Sep,SH Oct,SH Nov,SH Dec,Color 1,Color 2,Size,Lighting Type,Icon Filename,Critterpedia Filename,Furniture Filename,Internal ID,Unique Entry ID,Critterpedia ID,Weather,Achieved,Timestamp
blue marlin,10000,Pier,XX-Large,50,1–2,All day,All day,All day,All day,,,All day,All day,All day,,All day,All day,All day,All day,All day,,All day,All day,All day,All day,All day,All day,,,Blue,Black,2x1,Fluorescent,Fish58,FishKajiki,FtrFishKajiki,2275,jhtsYRHydAcZnd6bJ,67,Any weather,False,2020-08-13
bluegill,180,River,Small,0,6–10,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,Blue,Black,1x1,No lighting,Fish17,FishBlueguill,FtrFishBlueguill,2232,8ygccYFCrWf4hwYGR,20,Any weather,False,2020-08-13
butterfly fish,1000,Sea,Small,0,4–5,,,,All day,All day,All day,All day,All day,All day,,,,All day,All day,All day,,,,,,,All day,All day,All day,Yellow,Black,1x1,Fluorescent,Fish42,FishChouchouuo,FtrFishChouchouuo,2259,S4rkio2M3WB5cyy8Y,51,Any weather,False,2020-08-13
carp,300,Pond,Large,0,3–9,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Gray,Black,1x1,Fluorescent,Fish5,FishKoi,FtrFishKoi,2219,4DwwvGDwPQvZTn9Fb,5,Any weather,False,2020-08-13
catfish,800,Pond,Large,0,6–8,,,,,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,,,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,,,,,,,4 PM – 9 AM,4 PM – 9 AM,Black,Black,1x1,Fluorescent,Fish14,FishNamazu,FtrFishNamazu,2229,nbPtvwf7HCQxA9Nc4,18,Any weather,False,2020-08-13
char,3800,River (clifftop),Medium,20,1–4,,,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,,,All day,All day,All day,,,,All day,All day,All day,,,,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,Brown,Black,1x1,Fluorescent,Fish24,FishOoiwana,FtrFishOoiwana,2239,ahbnwCqp3EZXa96KC,28,Any weather,False,2020-08-13
cherry salmon,1000,River (clifftop),Medium,0,3–9,,,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,,,All day,All day,All day,,,,All day,All day,All day,,,,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,Brown,Black,1x1,Fluorescent,Fish23,FishYamame,FtrFishYamame,2238,sJyBbeLbpzn7LyzFr,27,Any weather,False,2020-08-13
clown fish,650,Sea,X-Small,0,5–6,,,,All day,All day,All day,All day,All day,All day,,,,All day,All day,All day,,,,,,,All day,All day,All day,Orange,Black,1x1,Fluorescent,Fish40,FishKumanomi,FtrFishKumanomi,2257,L9qxZaMoBhwxvpMyh,49,Any weather,False,2020-08-13
coelacanth,15000,Sea (rainy days),XX-Large,100,1–2,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Black,Black,2x1,Fluorescent,Fish63,FishSirakansu,FtrFishSirakansu,2284,NjMZQ6Xi9NswEXnHH,80,Any weather,False,2020-08-13
crawfish,200,Pond,Small,0,4–12,,,,All day,All day,All day,All day,All day,All day,,,,All day,All day,All day,,,,,,,All day,All day,All day,Red,Black,1x1,Fluorescent,Fish10,FishZarigani,FtrFishZarigani,2223,W7TrwpycmfgniZipi,11,Any weather,False,2020-08-13
crucian carp,160,River,Small,0,4–12,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Brown,Black,1x1,Fluorescent,Fish2,FishFuna,FtrFishFuna,328,Pdw7vmJz9PRM4ggbf,3,Any weather,False,2020-08-13
dab,300,Sea,Medium,0,11–14,All day,All day,All day,All day,,,,,,All day,All day,All day,,,,All day,All day,All day,All day,All day,All day,All day,,,Brown,Black,1x1,Fluorescent,Fish50,FishKarei,FtrFishKarei,2268,noA2Kfp8TaFgaLs5n,61,Any weather,False,2020-08-13
dace,240,River,Medium,0,3–10,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,Brown,Black,1x1,Fluorescent,Fish3,FishUgui,FtrFishUgui,2217,dWmXFdnjByWT5nEok,4,Any weather,False,2020-08-13
dorado,15000,River,X-Large,100,1–2,,,,,,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,,,,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,,,,,,,,,4 AM – 9 PM,Yellow,Black,2x1,Fluorescent,Fish34,FishDolado,FtrFishDolado,2251,G7ZwD67cRMHBwTSKH,42,Any weather,False,2020-08-13
football fish,2500,Sea,Large,20,6,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,,,,,,,,4 PM – 9 AM,4 PM – 9 AM,,,,,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,,,,Black,Black,2x1,Emission,Fish56,FishChouchinankou,FtrFishChouchinankou,2273,vQHfve6DygtcYqwdi,77,Any weather,False,2020-08-13
freshwater goby,400,River,Small,0,2–5,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,Brown,Black,1x1,Fluorescent,Fish12,FishDonko,FtrFishDonko,2227,SfXYNdtaid6hdQhvZ,16,Any weather,False,2020-08-13
frog,120,Pond,Small,0,7–9,,,,,All day,All day,All day,All day,,,,,All day,All day,,,,,,,,,All day,All day,Green,Black,1x1,Fluorescent,Fish11,FishKaeru,FtrFishKaeru,2226,LcQLs85qPPdLajLje,15,Any weather,False,2020-08-13
gar,6000,Pond,X-Large,50,1–2,,,,,,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,,,,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,,,,,,,,,4 PM – 9 AM,Brown,Black,2x1,Fluorescent,Fish35,FishGa,FtrFishGa,2252,x5yAYQgMJW9Kf7WyM,43,Any weather,False,2020-08-13
giant snakehead,5500,Pond,Large,50,2,,,,,,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,,,,,9 AM – 4 PM,9 AM – 4 PM,,,,,,,,,,9 AM – 4 PM,Black,Black,2x1,Fluorescent,Fish16,FishRaigyo,FtrFishRaigyo,2231,KyWQRd8W2FePM42wB,19,Any weather,False,2020-08-13
giant trevally,4500,Pier,X-Large,20,1,,,,,All day,All day,All day,All day,All day,All day,,,All day,All day,All day,All day,,,,,,,All day,All day,Black,Black,2x1,Fluorescent,Fish70,FishRouninaji,FtrFishGT,2276,53qtm8cMH4RfqJiAH,68,Any weather,False,2020-08-13
golden trout,15000,River (clifftop),Medium,100,1,,,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,,,,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,,,,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,,,,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,,Brown,Black,1x1,Fluorescent,Fish79,FishGoldenTorauto,FtrFishGoldenTorauto,4193,wwGzR7FzWNJ7cDz9X,29,Any weather,False,2020-08-13
goldfish,1300,Pond,X-Small,0,1–4,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Red,Light blue,1x1,No lighting,Fish7,FishKingyo,FtrFishKingyo,329,5NwmwhEQxBNZCPiBR,7,Any weather,False,2020-08-13
great white shark,15000,Sea,Large w/Fin,50,2,,,,,,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,,,,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,,,,,,,,,4 PM – 9 AM,Blue,Blue,3x2,No lighting,Fish62,FishSame,FtrFishSame,2280,EPypAeJGuTDGFJRnx,74,Any weather,False,2020-08-13
guppy,1300,River,X-Small,0,2–3,,,,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,,,,,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,Blue,Black,1x1,Fluorescent,Fish29,FishGuppi,FtrFishGuppi,2245,WtdZnARNxnWRobej2,34,Any weather,False,2020-08-13
hammerhead shark,8000,Sea,Large w/Fin,20,1,,,,,,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,,,,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,,,,,,,,,4 PM – 9 AM,Black,Black,2x1,Fluorescent,Fish61,FishShumokuzame,FtrFishShumokuzame,2279,guHT5g6H7tJEyqYzf,73,Any weather,False,2020-08-13
horse mackerel,150,Sea,Small,0,14–21,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Blue,Black,1x1,Fluorescent,Fish46,FishAji,FtrFishAji,2264,L24RYPaEcm9ZXkTui,57,Any weather,False,2020-08-13
killifish,300,Pond,X-Small,0,3–4,,,,All day,All day,All day,All day,All day,,,,,All day,All day,,,,,,,,All day,All day,All day,Yellow,Black,1x1,Fluorescent,Fish9,FishMedaka,FtrFishMedaka,2222,ZR9dsEApEXCjtXu3k,10,Any weather,False,2020-08-13
king salmon,1800,River (mouth),X-Large,20,5,,,,,,,,,All day,,,,,,All day,,,,,,,,,,Gray,Black,2x1,Fluorescent,Fish28,FishKingsalmon,FtrFishKingsalmon,2243,Pf5cXKo8pzdB45rAA,32,Any weather,False,2020-08-13
koi,4000,Pond,Large,20,1–4,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,Red,White,1x1,Fluorescent,Fish6,FishNishikigoi,FtrFishNishikigoi,2220,kNwjLeqjg8bFevfiG,6,Any weather,False,2020-08-13
loach,400,River,Small,0,12–16,,,All day,All day,All day,,,,,,,,,,,,,,,,All day,All day,All day,,Brown,Blue,1x1,No lighting,Fish13,FishDojou,FtrFishDojou,2228,95yBKrQ4tdyWj4H25,17,Any weather,False,2020-08-13
mahi-mahi,6000,Pier,X-Large,50,1,,,,,All day,All day,All day,All day,All day,All day,,,All day,All day,All day,All day,,,,,,,All day,All day,Yellow,Black,2x1,Fluorescent,Fish82,FishShiira,FtrFishShiira,4202,D7gY39QDo8BBNs2Ne,69,Any weather,False,2020-08-13
mitten crab,2000,River,Small,20,3–5,,,,,,,,,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,,,,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,,,,,,,,Black,Blue,1x1,No lighting,Fish66,FishSyanhaigani,FtrFishShanghai,2244,s2jqSYbMWBX6qCLDm,33,Any weather,False,2020-08-13
moray eel,2000,Sea,Long,20,2,,,,,,,,All day,All day,All day,,,,All day,All day,All day,,,,,,,,,Brown,Black,2x1,Fluorescent,Fish55,FishUtsubo,FtrFishUtsubo,2271,4nLynLTMRtoqcCfh4,64,Any weather,False,2020-08-13
Napoleonfish,10000,Sea,XX-Large,50,1,,,,,,,4 AM – 9 PM,4 AM – 9 PM,,,,,4 AM – 9 PM,4 AM – 9 PM,,,,,,,,,,,Light blue,Black,2x1,Fluorescent,Fish43,FishNaporeonfish,FtrFishNaporeonfish,2260,dm4THC3AYR6CZ8bvJ,52,Any weather,False,2020-08-13
neon tetra,500,River,X-Small,0,2–3,,,,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,,,,,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,Light blue,Black,1x1,Fluorescent,Fish31,FishNeontetora,FtrFishNeontetora,2248,aEyRb96wcz9m8yjFN,38,Any weather,False,2020-08-13
nibble fish,1500,River,X-Small,20,2,,,,,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,,,,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,,,,,,,,9 AM – 4 PM,9 AM – 4 PM,Brown,Blue,1x1,No lighting,Fish67,FishDokutaafish,FtrFishDoctor,2246,pkPKYsMiXsTWNz4L4,35,Any weather,False,2020-08-13
oarfish,9000,Sea,XX-Large,50,1,All day,All day,All day,All day,All day,,,,,,,All day,,,,,,All day,All day,All day,All day,All day,All day,,Red,Blue,3x2,No lighting,Fish69,FishRyuuguunotukai,FtrFishRyugu,2283,qgvEPGk759xaBqwXP,78,Any weather,False,2020-08-13
ocean sunfish,4000,Sea,Large w/Fin,20,1,,,,,,,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,,,,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,,,,,,,,,,Blue,Orange,2x2,No lighting,Fish60,FishManbou,FtrFishManbou,2278,6BwK6LHbjFAKzgE82,70,Any weather,False,2020-08-13
olive flounder,800,Sea,X-Large,0,4–6,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Beige,Black,2x1,Fluorescent,Fish51,FishHirame,FtrFishHirame,2269,TXSteKMHuQ9ZfqPXm,62,Any weather,False,2020-08-13
pale chub,200,River,X-Small,0,6–9,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,Blue,Blue,1x1,No lighting,Fish1,FishOikawa,FtrFishOikawa,2216,pCn9TLap3rWiLYfnF,2,Any weather,False,2020-08-13
pike,1800,River,X-Large,20,1–2,,,,,,,,,All day,All day,All day,All day,,,All day,All day,All day,All day,,,,,,,Green,Black,2x1,Fluorescent,Fish20,FishPaiku,FtrFishPaiku,2235,XxrB6iKQPhBkYKaXD,24,Any weather,False,2020-08-13
piranha,2500,River,Small,20,1–3,,,,,,9 AM – 4 PM; 9 PM – 4 AM,9 AM – 4 PM; 9 PM – 4 AM,9 AM – 4 PM; 9 PM – 4 AM,9 AM – 4 PM; 9 PM – 4 AM,,,,9 AM – 4 PM; 9 PM – 4 AM,9 AM – 4 PM; 9 PM – 4 AM,9 AM – 4 PM; 9 PM – 4 AM,,,,,,,,,9 AM – 4 PM; 9 PM – 4 AM,Green,Black,1x1,Fluorescent,Fish32,FishPirania,FtrFishPirania,2249,5C59HAFxmwNSjH4Zq,40,Any weather,False,2020-08-13
pond smelt,400,River,Small,0,18–20,All day,All day,,,,,,,,,,All day,,,,,,All day,All day,All day,,,,,Orange,Blue,1x1,No lighting,Fish21,FishWakasagi,FtrFishWakasagi,2236,DDb2GPEjapPmbYbWG,25,Any weather,False,2020-08-13
pop-eyed goldfish,1300,Pond,X-Small,0,1–2,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,Black,Light blue,1x1,No lighting,Fish8,FishDemekin,FtrFishDemekin,2221,RvqzuA438gGqRJ7NG,8,Any weather,False,2020-08-13
puffer fish,250,Sea,Medium,0,7–8,,,,,,,All day,All day,All day,,,,All day,All day,All day,,,,,,,,,,Beige,Black,1x1,Fluorescent,Fish45,FishHarisenbon,FtrFishHarisenbon,2263,jNkgaybfSsv8MkaQ2,55,Any weather,False,2020-08-13
rainbowfish,800,River,X-Small,0,2–3,,,,,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,,,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,,,,,,,9 AM – 4 PM,9 AM – 4 PM,Orange,Black,1x1,Fluorescent,Fish80,FishRainbowfish,FtrFishRainbowfish,4194,XJfkdS4C2MPYiscST,39,Any weather,False,2020-08-13
ranchu goldfish,4500,Pond,Small,20,1–2,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,Red,Black,1x1,No lighting,Fish85,FishRanchu,FtrFishRanchu,5254,4NE2SteWKEaBYjgWb,9,Any weather,False,2020-08-13
ray,3000,Sea,X-Large,20,2,,,,,,,,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,,,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,,,,,,,,Brown,Black,2x1,Fluorescent,Fish59,FishEi,FtrFishEi,2277,gP5F7wWFvFqiZzuGw,71,Any weather,False,2020-08-13
red snapper,3000,Sea,Large,0,5–7,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Red,Black,1x1,Fluorescent,Fish49,FishTai,FtrFishTai,2267,iY4zfgojAfLskW4CQ,60,Any weather,False,2020-08-13
ribbon eel,600,Sea,Long,0,2,,,,,,All day,All day,All day,All day,All day,,,All day,All day,All day,All day,,,,,,,,All day,Blue,Black,2x1,Fluorescent,Fish71,FishHanahigeutubo,FtrFishHanahige,2272,T9zeSBHpB5qyAZTxu,65,Any weather,False,2020-08-13
saddled bichir,4000,River,Large,20,1,,,,,,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,,,,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,,,,,,,,,9 PM – 4 AM,Brown,Black,2x1,Fluorescent,Fish68,FishEndorikerii,FtrFishEndlicheri,2254,bcTmnwZxrw2iJsQmf,45,Any weather,False,2020-08-13
salmon,700,River (mouth),Large,0,20,,,,,,,,,All day,,,,,,All day,,,,,,,,,,Brown,Black,2x1,Fluorescent,Fish27,FishSake,FtrFishSake,2242,iwXhnZcSezNxqdNQf,31,Any weather,False,2020-08-13
saw shark,12000,Sea,Large w/Fin,50,1,,,,,,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,,,,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,,,,,,,,,4 PM – 9 AM,Brown,Black,2x1,Fluorescent,Fish74,FishNokogirizame,FtrFishNokogiri,2281,tsrT7a8cbtwZrmJTz,72,Any weather,False,2020-08-13
sea bass,400,Sea,X-Large,0,11–18,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Gray,Black,2x1,Fluorescent,Fish48,FishSuzuki,FtrFishSuzuki,2266,LkA5hzibm6uiHDB9g,59,Any weather,False,2020-08-13
sea butterfly,1000,Sea,X-Small,0,10–11,All day,All day,All day,,,,,,,,,All day,,,,,,All day,All day,All day,All day,,,,White,Black,1x1,Fluorescent,Fish37,FishKurione,FtrFishKurione,2255,kd5beizyQGeyjeM79,47,Any weather,False,2020-08-13
